Fecha,Temperatura_Abrigo_150cm,Temperatura_Abrigo_150cm_Maxima,Temperatura_Abrigo_150cm_Minima,Temperatura_Intemperie_5cm_Minima,Temperatura_Intemperie_50cm_Minima,Temperatura_Suelo_5cm_Media,Temperatura_Suelo_10cm_Media,Temperatura_Inte_5cm,Temperatura_Intemperie_150cm_Minima,Humedad_Suelo,Precipitacion_Pluviometrica,Granizo,Nieve,Heliofania_Efectiva,Heliofania_Relativa,Tesion_Vapor_Media,Humedad_Media,Humedad_Media_8_14_20,Rocio_Medio,Duracion_Follaje_Mojado,Velocidad_Viento_200cm_Media,Direccion_Viento_200cm,Velocidad_Viento_1000cm_Media,Direccion_Viento_1000cm,Velocidad_Viento_Maxima,Presion_Media,Radiacion_Global,Radiacion_Neta,Evaporacion_Tanque,Evapotranspiracion_Potencial,Profundidad_Napa,Horas_Frio,Unidad_Frio
1961-02-01 00:00:00.0,21.1,30.1,12.1,,,,,,,,10.6,0,0,,,16.8,,67,14.8,,10.4,,13.0,,,,,,,,,0.0,
1961-02-02 00:00:00.0,19.5,27.9,11.1,,,,,,,,0.0,0,0,,,12.7,,55,10.5,,8.8,,11.0,,,,,,,,,0.0,
1961-02-03 00:00:00.0,23.15,31.4,14.9,,,,,,,,0.0,0,0,,,20.0,,70,17.5,,15.2,,19.0,,,,,,,,,0.0,
1961-02-04 00:00:00.0,21.55,31.4,11.7,,,,,,,,0.0,0,0,,,13.5,,47,11.4,,7.2,,9.0,,,,,,,,,0.0,
1961-02-05 00:00:00.0,19.75,27.9,11.6,,,,,,,,0.0,0,0,,,24.1,,80,20.5,,12.0,,15.0,,,,,,,,,0.0,
1961-02-06 00:00:00.0,22.75,28.4,17.1,,,,,,,,18.0,0,0,,,22.9,,80,19.7,,10.4,,13.0,,,,,,,,,0.0,
1961-02-07 00:00:00.0,21.0,24.9,17.1,,,,,,,,0.0,0,0,,,12.8,,64,10.6,,17.6,,22.0,,,,,,,,,0.0,
1961-02-08 00:00:00.0,17.0,26.9,7.1,,,,,,,,0.0,0,0,,,14.9,,60,12.9,,8.8,,11.0,,,,,,,,,0.0,
1961-02-09 00:00:00.0,20.05,26.0,14.1,,,,,,,,0.0,0,0,,,16.3,,73,14.3,,12.8,,16.0,,,,,,,,,0.0,
1961-02-10 00:00:00.0,23.25,29.9,16.6,,,,,,,,0.0,0,0,,,18.0,,70,15.8,,13.6,,17.0,,,,,,,,,0.0,
1961-02-11 00:00:00.0,19.25,28.9,9.6,,,,,,,,0.0,0,0,,,22.8,,73,19.6,,8.8,,11.0,,,,,,,,,0.0,
1961-02-12 00:00:00.0,19.25,26.9,11.6,,,,,,,,0.0,0,0,,,,,,,,,,,,,,,,,,,0.0,
1961-02-13 00:00:00.0,14.5,22.9,6.1,,,,,,,,0.0,0,0,,,12.3,,67,10.0,,8.8,,11.0,,,,,,,,,1.285715,
1961-02-14 00:00:00.0,16.5,25.9,7.1,,,,,,,,0.0,0,0,,,11.8,,53,9.4,,14.4,,18.0,,,,,,,,,0.0,
1961-02-15 00:00:00.0,18.5,28.9,8.1,,,,,,,,0.0,0,0,,,16.7,,82,14.7,,15.2,,19.0,,,,,,,,,0.0,
1961-02-16 00:00:00.0,23.5,29.9,17.1,,,,,,,,8.0,0,0,,,20.1,,72,17.6,,14.4,,18.0,,,,,,,,,0.0,
1961-02-17 00:00:00.0,20.15,24.2,16.1,,,,,,,,0.0,0,0,,,21.0,,83,18.3,,5.6,,7.0,,,,,,,,,0.0,
1961-02-18 00:00:00.0,21.7,28.9,14.5,,,,,,,,0.0,0,0,,,16.9,,63,14.9,,4.8,,6.0,,,,,,,,,0.0,
1961-02-19 00:00:00.0,21.05,26.5,15.6,,,,,,,,0.0,0,0,,,,,,,,,,,,,,,,,,,0.0,
1961-02-20 00:00:00.0,23.0,30.9,15.1,,,,,,,,10.0,0,0,,,21.8,,,18.9,,4.8,,6.0,,,,,,,,,0.0,
1961-02-21 00:00:00.0,21.9,26.7,17.1,,,,,,,,2.0,0,0,,,21.3,,79,18.5,,5.6,,7.0,,,,,,,,,0.0,
1961-02-22 00:00:00.0,18.5,21.9,15.1,,,,,,,,0.0,0,0,,,12.1,,67,9.8,,12.8,,16.0,,,,,,,,,0.0,
